"id","vector","h","s","v"
"grover-cleveland","#000000","0","0","0"
"james-garfield","#190A0A","0","0.6","0.0980392156862745"
"rutherford-hayes","#150C0C","0","0.428571428571429","0.0823529411764706"
"william-taft","#241414","0","0.444444444444444","0.141176470588235"
"andrew-jackson","#7D2D2A","0.00602409638554218","0.664","0.490196078431373"
"grover-cleveland","#1A0100","0.00641025641025641","1","0.101960784313725"
"bill-clinton","#8D5350","0.00819672131147542","0.432624113475177","0.552941176470588"
"harry-truman","#300A08","0.00833333333333333","0.833333333333333","0.188235294117647"
"james-polk","#793430","0.0091324200913242","0.603305785123967","0.474509803921569"
"franklin-roosevelt","#491714","0.00943396226415094","0.726027397260274","0.286274509803922"
"john-tyler","#321311","0.0101010101010101","0.66","0.196078431372549"
"james-polk","#872922","0.0115511551155116","0.748148148148148","0.529411764705882"
"martin-van-buren","#421A17","0.0116279069767442","0.651515151515151","0.258823529411765"
"andrew-jackson","#521D19","0.0116959064327485","0.695121951219512","0.32156862745098"
"richard-nixon","#270401","0.0131578947368421","0.974358974358974","0.152941176470588"
"millard-fillmore","#0C0100","0.0138888888888889","1","0.0470588235294118"
"james-monroe","#140908","0.0138888888888889","0.6","0.0784313725490196"
"richard-nixon","#711B13","0.0141843971631206","0.831858407079646","0.443137254901961"
"franklin-roosevelt","#6B2019","0.0142276422764228","0.766355140186916","0.419607843137255"
"james-polk","#6A251E","0.0153508771929825","0.716981132075472","0.415686274509804"
"franklin-roosevelt","#481712","0.0154320987654321","0.75","0.282352941176471"
"george-washington","#79352E","0.0155555555555556","0.619834710743802","0.474509803921569"
"george-washington","#532D29","0.0158730158730159","0.506024096385542","0.325490196078431"
"james-polk","#582B26","0.0166666666666667","0.568181818181818","0.345098039215686"
"james-polk","#150301","0.0166666666666667","0.952380952380952","0.0823529411764706"
"martin-van-buren","#5E2019","0.0169082125603865","0.734042553191489","0.368627450980392"
"franklin-pierce","#44110B","0.0175438596491228","0.838235294117647","0.266666666666667"
"ronald-reagan","#C2584B","0.0182072829131653","0.61340206185567","0.76078431372549"
"franklin-pierce","#42231F","0.0190476190476191","0.53030303030303","0.258823529411765"
"andrew-jackson","#562019","0.0191256830601093","0.709302325581395","0.337254901960784"
"ulysses-grant","#471A14","0.0196078431372549","0.71830985915493","0.27843137254902"
"martin-van-buren","#62231A","0.0208333333333333","0.73469387755102","0.384313725490196"
"zachary-taylor","#3A1914","0.0219298245614035","0.655172413793103","0.227450980392157"
"john-tyler","#5A1F16","0.0220588235294118","0.755555555555556","0.352941176470588"
